cycle,event,bodies,active_bodies,light,shadow,mercury,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
95,drift,40,18,0.606763,0.500994,0.480453,2,0.126309,1,0.85725,1,0.437987,0.999807,0,0.252386,0.906132,0,1,1,0.6725,95,0,0,95,95,95,0,0,2,0,0,False,False
96,drift,40,18,0.576188,0.506475,0.610816,3,0.104341,1,0.857566,1,0.438178,0.999848,0,0.254196,0.906957,0,1,1,0.6725,96,0,0,96,96,96,0,0,2,0,0,False,False
97,drift,40,18,0.602694,0.497844,0.566585,3,0.104849,1,0.857876,1,0.438377,0.999889,0,0.25586,0.907782,0,1,1,0.6725,97,0,0,97,97,97,0,0,2,0,0,False,False
98,drift,40,18,0.595677,0.5056,0.556562,3,0.090078,1,0.858181,1,0.438393,0.99993,0,0.257391,0.908598,0,1,1,0.6725,98,0,0,98,98,98,0,0,2,0,0,False,False
99,drift,40,18,0.592416,0.496035,0.551462,3,0.09638,1,0.85848,1,0.438498,0.999969,0,0.2588,0.909386,0,1,1,0.6725,99,0,0,99,99,99,0,0,2,0,0,False,False
100,drift,40,18,0.613035,0.486947,0.583034,2,0.126087,1,0.858775,1,0.43898,1,0,0.252096,0.910173,0,1,1,0.6725,100,0,0,100,100,100,0,0,2,0,0,False,False
101,drift,40,18,0.589632,0.510944,0.53391,3,0.078688,1,0.859065,1,0.438858,1,0,0.253928,0.910961,0,1,1,0.6725,101,0,0,101,101,101,0,0,2,0,0,False,False
102,drift,40,18,0.609776,0.49439,0.581182,2,0.115386,1,0.85935,1,0.439211,1,0,0.247614,0.911748,0,1,1,0.6725,102,0,0,102,102,102,0,0,2,0,0,False,False
103,drift,40,18,0.604344,0.520524,0.564111,3,0.08382,1,0.85963,1,0.439164,1,0,0.249805,0.912536,0,1,1,0.6725,103,0,0,103,103,103,0,0,2,0,0,False,False
104,drift,40,18,0.613514,0.48679,0.615783,1,0.128993,1,0.859906,1,0.439696,1,0,0.24382,0.913323,0,1,1,0.6725,104,0,0,104,104,104,0,0,2,0,0,False,False
105,drift,40,18,0.59069,0.532954,0.54498,3,0.057736,1,0.860178,1,0.439321,1,0,0.246315,0.914111,0,1,1,0.6725,105,0,0,105,105,105,0,0,2,0,0,False,False
106,drift,40,18,0.597878,0.505493,0.572995,3,0.092385,1,0.860446,1,0.43941,1,0,0.24861,0.914898,0,1,1,0.6725,106,0,0,106,106,106,0,0,2,0,0,False,False
107,unknown,40,40,0.590577,0.470848,0.590168,1,0.119728,1,0.860871,1,0.439847,1,0,0.242721,0.919518,0,1,1,0.6725,107,0,0,107,107,107,0,0,3,0,0,False,False
108,drift,40,18,0.621231,0.499464,0.525355,2,0.121767,1,0.861126,1,0.4403,1,0,0.237303,0.920193,0,1,1,0.6725,108,0,0,108,108,108,0,0,3,0,0,False,False
109,drift,40,18,0.611235,0.518198,0.539477,3,0.093037,1,0.861377,1,0.440382,1,0,0.240319,0.92085,0,1,1,0.6725,109,0,0,109,109,109,0,0,3,0,0,False,False
110,drift,40,18,0.604357,0.496662,0.543534,3,0.107695,1,0.861625,1,0.440655,1,0,0.243093,0.921473,0,1,1,0.6725,110,0,0,110,110,110,0,0,3,0,0,False,False
111,drift,40,18,0.605096,0.510386,0.433316,2,0.171779,1,0.861869,1,0.441727,1,0,0.237646,0.922045,0,1,1,0.6725,111,0,0,111,111,111,0,0,3,0,0,False,False
112,drift,40,18,0.595164,0.513209,0.433515,2,0.161649,1,0.86211,1,0.44263,1,0,0.232634,0.922608,0,1,1,0.6725,112,0,0,112,112,112,0,0,3,0,0,False,False
113,drift,40,18,0.594523,0.488908,0.461047,2,0.133476,1,0.862348,1,0.443147,1,0,0.228024,0.92317,0,1,1,0.6725,113,0,0,113,113,113,0,0,3,0,0,False,False
114,drift,40,18,0.591157,0.520991,0.530115,3,0.070165,1,0.862582,1,0.442858,1,0,0.231782,0.923733,0,1,1,0.6725,114,0,0,114,114,114,0,0,3,0,0,False,False
115,drift,40,18,0.613451,0.499274,0.497906,2,0.115545,1,0.862814,1,0.443162,1,0,0.227239,0.924295,0,1,1,0.6725,115,0,0,115,115,115,0,0,3,0,0,False,False
116,drift,40,18,0.595788,0.508351,0.579716,3,0.087437,1,0.863043,1,0.443111,1,0,0.23106,0.924858,0,1,1,0.6725,116,0,0,116,116,116,0,0,3,0,0,False,False
117,drift,40,18,0.615931,0.511846,0.539378,3,0.104084,1,0.863268,1,0.443282,1,0,0.234575,0.92542,0,1,1,0.6725,117,0,0,117,117,117,0,0,3,0,0,False,False
118,drift,40,18,0.604598,0.50491,0.527693,3,0.099688,1,0.863491,1,0.443401,1,0,0.237809,0.925955,0,1,1,0.6725,118,0,0,118,118,118,0,0,3,0,0,False,False
119,drift,40,18,0.60083,0.510505,0.572628,3,0.090325,1,0.863712,1,0.443409,1,0,0.240784,0.92648,0,1,1,0.6725,119,0,0,119,119,119,0,0,3,0,0,False,False
120,drift,40,18,0.611398,0.532807,0.543202,3,0.078591,1,0.863929,1,0.443281,1,0,0.243522,0.927005,0,1,1,0.6725,120,0,0,120,120,120,0,0,3,0,0,False,False
121,drift,40,18,0.573298,0.540157,0.523345,3,0.049954,1,0.864144,1,0.442813,1,0,0.24604,0.92753,0,1,1,0.6725,121,0,0,121,121,121,0,0,3,0,0,False,False
122,drift,40,18,0.596543,0.525594,0.607246,3,0.081651,1,0.864357,1,0.442776,1,0,0.248357,0.928055,0,1,1,0.6725,122,0,0,122,122,122,0,0,3,0,0,False,False
123,drift,40,18,0.61195,0.51383,0.4772,2,0.134751,1,0.864567,1,0.443416,1,0,0.242488,0.92858,0,1,1,0.6725,123,0,0,123,123,123,0,0,3,0,0,False,False
124,drift,40,18,0.609111,0.490127,0.553903,2,0.118984,1,0.864775,1,0.443838,1,0,0.237089,0.929074,0,1,1,0.6725,124,0,0,124,124,124,0,0,3,0,0,False,False
125,drift,40,18,0.593724,0.510109,0.626203,2,0.116094,1,0.864981,1,0.444214,1,0,0.232122,0.929562,0,1,1,0.6725,125,0,0,125,125,125,0,0,3,0,0,False,False
126,drift,40,18,0.611288,0.516113,0.53806,3,0.095175,1,0.865185,1,0.444322,1,0,0.235552,0.930025,0,1,1,0.6725,126,0,0,126,126,126,0,0,3,0,0,False,False
127,drift,40,18,0.615915,0.492873,0.522394,2,0.123042,1,0.865386,1,0.444784,1,0,0.230708,0.930475,0,1,1,0.6725,127,0,0,127,127,127,0,0,3,0,0,False,False
