cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
146,False,1,0.864011,0.390573,0.627063,0.310232,0.250775,-0.014936,0.518884,0.499034,0.0,0.021421,0.0,0.0,0.979794,0.0,1
147,False,1,0.869179,0.390952,0.630962,0.310223,0.250718,-0.013872,0.528543,0.504546,0.0,0.021782,0.0,0.0,0.979802,0.0,1
148,False,1,0.876538,0.389866,0.635875,0.310214,0.250653,-0.011783,0.52025,0.505396,0.0,0.020812,0.0,0.0,0.97981,0.0,1
149,False,1,0.865706,0.390875,0.62841,0.310205,0.250599,-0.014711,0.515313,0.487839,0.0,0.021745,0.0,0.0,0.979817,0.0,1
150,False,1,0.864769,0.391149,0.627837,0.310197,0.250548,-0.014615,0.511635,0.488011,0.0,0.022008,0.0,0.0,0.979825,0.0,1
151,False,1,0.849612,0.39137,0.616917,0.310189,0.250501,-0.019194,0.518954,0.495424,0.0,0.022221,0.0,0.0,0.979832,0.0,1
152,False,1,0.852119,0.39115,0.618653,0.310182,0.250453,-0.018533,0.522986,0.502094,0.0,0.022035,0.0,0.0,0.979838,0.0,1
153,False,1,0.85781,0.391886,0.62307,0.310174,0.250414,-0.016385,0.513887,0.486996,0.0,0.022715,0.0,0.0,0.979845,0.0,1
154,False,1,0.859773,0.391867,0.624488,0.310167,0.250375,-0.016,0.511927,0.48926,0.0,0.022708,0.0,0.0,0.979851,0.0,1
155,False,1,0.868116,0.389965,0.629805,0.310161,0.25032,-0.014175,0.507609,0.497142,0.0,0.020994,0.0,0.0,0.979857,0.0,1
156,False,1,0.869215,0.39019,0.63069,0.310154,0.250269,-0.013945,0.5014,0.478846,0.0,0.021213,0.0,0.0,0.979863,0.0,1
157,False,1,0.878008,0.390567,0.637219,0.310148,0.250222,-0.010974,0.509582,0.485823,0.0,0.021569,0.0,0.0,0.979868,0.0,1
158,False,1,0.868638,0.393431,0.631538,0.310142,0.250203,-0.012697,0.504535,0.464336,0.0,0.024177,0.0,0.0,0.979874,0.0,1
159,False,1,0.879957,0.394583,0.640224,0.310137,0.250193,-0.008715,0.505457,0.473786,0.0,0.025226,0.0,0.0,0.979879,0.0,1
160,False,1,0.873863,0.39413,0.635612,0.310131,0.250181,-0.010907,0.500318,0.478017,0.0,0.024817,0.0,0.0,0.979883,0.0,1
161,False,1,0.880873,0.393925,0.640629,0.310126,0.250166,-0.009105,0.494354,0.470841,0.0,0.024634,0.0,0.0,0.979888,0.2,1
162,False,1,0.883167,0.392808,0.641854,0.310121,0.250142,-0.008475,0.490153,0.472726,0.0,0.023625,0.0,0.0,0.979893,0.2,1
163,False,1,0.879203,0.391048,0.638277,0.310116,0.250104,-0.010282,0.490353,0.478077,0.0,0.022036,0.0,0.0,0.979897,0.2,1
164,False,1,0.881485,0.392083,0.640343,0.310111,0.250075,-0.009324,0.491876,0.463068,0.0,0.022984,0.0,0.0,0.979901,0.2,1
165,False,1,0.888266,0.391687,0.645111,0.310107,0.250044,-0.007317,0.490425,0.469948,0.0,0.022633,0.0,0.0,0.979905,0.0,1
166,False,1,0.897099,0.388939,0.650417,0.310103,0.249989,-0.005696,0.48971,0.484808,0.0,0.020151,0.0,0.0,0.979909,0.0,1
167,False,1,0.895367,0.386173,0.648047,0.310099,0.249912,-0.00726,0.486924,0.484568,0.0,0.01766,0.0,0.0,0.979912,0.0,1
168,False,1,0.906699,0.384746,0.655666,0.310095,0.249824,-0.004703,0.483218,0.474635,0.0,0.016389,0.0,0.0,0.979916,0.0,1
169,False,1,0.912209,0.382829,0.658864,0.310091,0.249721,-0.003633,0.482281,0.47812,0.0,0.014677,0.0,0.0,0.979919,0.0,1
170,False,1,0.915042,0.381777,0.660477,0.310087,0.249612,-0.003101,0.475444,0.46736,0.0,0.013754,0.0,0.0,0.979923,0.0,1
171,False,1,0.923721,0.381575,0.666657,0.310084,0.249505,-0.000743,0.489661,0.476991,0.0,0.013602,0.0,0.0,0.979926,0.0,1
172,False,1,0.918118,0.38112,0.662426,0.31008,0.249396,-0.002581,0.480527,0.46964,0.0,0.013222,0.0,0.0,0.979929,0.0,1
173,False,1,0.918126,0.380498,0.662174,0.310077,0.249285,-0.002958,0.484302,0.47488,0.0,0.01269,0.0,0.0,0.979931,0.0,1
174,False,1,0.902461,0.379984,0.650668,0.310074,0.249172,-0.007839,0.476171,0.466573,0.0,0.012257,0.0,0.0,0.979934,0.0,1
175,False,1,0.900416,0.378535,0.648606,0.310071,0.24905,-0.008623,0.46729,0.470401,0.0,0.010977,0.0,0.0,0.979937,0.0,1
176,False,1,0.905612,0.380147,0.653006,0.310068,0.248945,-0.006459,0.49206,0.470392,0.0,0.012474,0.0,0.0,0.979939,0.0,1
177,False,1,0.903013,0.379682,0.650943,0.310066,0.24884,-0.007537,0.482987,0.4733,0.0,0.012083,0.0,0.0,0.979942,0.0,1
178,False,1,0.902282,0.378202,0.649816,0.310063,0.248724,-0.008326,0.479391,0.482117,0.0,0.010773,0.0,0.0,0.979944,0.0,1
179,False,1,0.921207,0.376717,0.662829,0.31006,0.248598,-0.002987,0.479142,0.47774,0.0,0.009461,0.0,0.0,0.979946,0.0,1
180,False,1,0.911397,0.378035,0.656312,0.310058,0.248487,-0.005611,0.477479,0.459214,0.0,0.010694,0.0,0.0,0.979948,0.0,1
181,False,1,0.897928,0.376692,0.646069,0.310056,0.248368,-0.010221,0.465847,0.463615,0.0,0.009509,0.0,0.0,0.979951,0.0,1
