cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
37,True,1,0.808695,0.493913,0.624524,0.371449,0.604845,0.017257,0.547576,0.46691,0.465186,0.047732,0.024062,0.005815,0.921678,0.0,0
38,True,1,0.812808,0.505747,0.632028,0.371118,0.614152,0.016049,0.539272,0.481013,0.468352,0.047651,0.026544,0.009717,0.922012,0.0,0
39,True,1,0.817191,0.510412,0.637152,0.370791,0.623478,0.015021,0.531268,0.46773,0.464468,0.047089,0.027732,0.009078,0.922368,0.0,0
40,True,1,0.829223,0.532534,0.654788,0.370432,0.632936,0.010569,0.53835,0.475549,0.446291,0.04966,0.032342,0.018965,0.922811,0.0,0
41,True,1,0.832842,0.533564,0.658032,0.370085,0.642398,0.009637,0.530871,0.465203,0.462748,0.048896,0.032755,0.016154,0.923284,0.0,0
42,True,1,0.8342,0.55349,0.666585,0.369717,0.651954,0.008604,0.524174,0.47051,0.438838,0.050335,0.03636,0.025592,0.923819,0.0,0
43,True,1,0.836038,0.56672,0.673031,0.369343,0.661567,0.007939,0.533718,0.479764,0.453742,0.050872,0.038689,0.030883,0.92439,0.0,0
44,True,1,0.829311,0.592551,0.677255,0.368939,0.671312,0.008928,0.529669,0.481426,0.433359,0.053272,0.043379,0.043933,0.92504,0.0,0
45,True,0.999848,0.820341,0.601891,0.673377,0.368537,0.68109,0.011543,0.516349,0.466023,0.436802,0.053229,0.04492,0.046835,0.925691,0.0,0
46,True,1,0.828925,0.597501,0.678786,0.368166,0.690823,0.009893,0.524342,0.470935,0.460979,0.051251,0.043763,0.04145,0.926275,0.2,0
47,True,0.995737,0.833379,0.592007,0.680373,0.367829,0.700484,0.00957,0.515765,0.470446,0.46273,0.04839,0.041889,0.036246,0.926814,0.2,0
48,True,0.997958,0.827305,0.599573,0.678231,0.367504,0.710142,0.011897,0.514843,0.476642,0.450715,0.047375,0.042328,0.039368,0.927345,0.2,0
49,True,1,0.833581,0.613425,0.688572,0.367172,0.719862,0.009852,0.516057,0.472708,0.437329,0.048295,0.04439,0.045645,0.927881,0.2,0
50,True,1,0.833774,0.628307,0.694316,0.366833,0.729648,0.009332,0.510195,0.469256,0.429224,0.049318,0.046645,0.052529,0.928459,0.0,0
